year,week,territory,continent,cases,deaths,population
2020,7,Kuwait,Asia,0,0,4137309
2020,7,Lebanon,Asia,0,0,6848925
2020,7,Lithuania,Europe,0,0,2789533
2020,7,Luxembourg,Europe,0,0,607728
2020,7,Malaysia,Asia,4,0,31528585
2020,7,Mexico,America,0,0,126190788
2020,7,Monaco,Europe,0,0,38682
2020,7,Nepal,Asia,0,0,28087871
2020,7,Netherlands,Europe,0,0,17231017
2020,7,New_Zealand,Oceania,0,0,4885500
2020,7,Nigeria,Africa,0,0,195874740
2020,7,North_Macedonia,Europe,0,0,2082958
2020,7,Norway,Europe,0,0,5314336
2020,7,Oman,Asia,0,0,4829483
2020,7,Pakistan,Asia,0,0,212215030
2020,7,Philippines,Asia,0,0,106651922
2020,7,Qatar,Asia,0,0,2781677
2020,7,Romania,Europe,0,0,19473936
2020,7,Russia,Europe,0,0,144478050
2020,7,San_Marino,Europe,0,0,33785
2020,7,Singapore,Asia,32,0,5638676
2020,7,South_Korea,Asia,3,0,51635256
2020,7,Spain,Europe,0,0,46723749
2020,7,Sri_Lanka,Asia,0,0,21670000
2020,7,Sweden,Europe,0,0,10183175
2020,7,Switzerland,Europe,0,0,8516543
2020,7,Taiwan,Asia,4,1,23780452
2020,7,Thailand,Asia,3,0,69428524
2020,7,United_Arab_Emirates,Asia,1,0,9630959
2020,7,United_Kingdom,Europe,1,0,66488991
2020,7,United_States_of_America,America,2,0,327167434
2020,7,Vietnam,Asia,1,0,95540395
2020,8,Afghanistan,Asia,1,0,37172386
2020,8,Algeria,Africa,0,0,42228429
2020,8,Armenia,Europe,0,0,2951776
2020,8,Australia,Oceania,7,0,24992369
2020,8,Austria,Europe,0,0,8847037
2020,8,Azerbaijan,Europe,0,0,9942334
2020,8,Bahrain,Asia,2,0,1569439
2020,8,Belarus,Europe,0,0,9485386
2020,8,Belgium,Europe,0,0,11422068
2020,8,Brazil,America,0,0,209469333
2020,8,Cambodia,Asia,0,0,16249798
2020,8,Canada,America,3,0,37058856
2020,8,China,Asia,5241,796,1392730000
2020,8,Croatia,Europe,0,0,4089400
2020,8,Czechia,Europe,0,0,10625695
2020,8,Denmark,Europe,0,0,5797446
2020,8,Dominican_Republic,America,0,0,10627165
2020,8,Ecuador,America,0,0,17084357
2020,8,Egypt,Africa,0,0,98423595
2020,8,Estonia,Europe,0,0,1320884
2020,8,Finland,Europe,0,0,5518050
2020,8,France,Europe,0,0,66987244
2020,8,Georgia,Europe,0,0,3731000
2020,8,Germany,Europe,0,0,82927922
2020,8,Greece,Europe,0,0,10727668
2020,8,Iceland,Europe,0,0,353574
2020,8,India,Asia,0,0,1352617328
2020,8,Indonesia,Asia,0,0,267663435
2020,8,Iran,Asia,61,12,81800269
2020,8,Iraq,Asia,1,0,38433600
2020,8,Ireland,Europe,0,0,4853506
2020,8,Israel,Asia,2,0,8883800
2020,8,Italy,Europe,226,6,60431283
2020,8,Japan,Asia,85,0,126529100
2020,8,Kuwait,Asia,5,0,4137309
2020,8,Lebanon,Asia,1,0,6848925
2020,8,Lithuania,Europe,0,0,2789533
2020,8,Luxembourg,Europe,0,0,607728
2020,8,Malaysia,Asia,0,0,31528585
2020,8,Mexico,America,0,0,126190788
2020,8,Monaco,Europe,0,0,38682
2020,8,Nepal,Asia,0,0,28087871
2020,8,Netherlands,Europe,0,0,17231017
2020,8,New_Zealand,Oceania,0,0,4885500
2020,8,Nigeria,Africa,0,0,195874740
