date,year,month,day,territory,continent,population,cases,deaths
2020-04-05,2020,4,5,Albania,Europe,2866376,29,2
2020-04-04,2020,4,4,Albania,Europe,2866376,27,1
2020-04-03,2020,4,3,Albania,Europe,2866376,18,1
2020-04-02,2020,4,2,Albania,Europe,2866376,16,0
2020-04-01,2020,4,1,Albania,Europe,2866376,20,3
2020-03-31,2020,3,31,Albania,Europe,2866376,11,2
2020-03-30,2020,3,30,Albania,Europe,2866376,15,0
2020-03-29,2020,3,29,Albania,Europe,2866376,11,1
2020-03-28,2020,3,28,Albania,Europe,2866376,12,3
2020-03-27,2020,3,27,Albania,Europe,2866376,28,1
2020-03-26,2020,3,26,Albania,Europe,2866376,23,0
2020-03-25,2020,3,25,Albania,Europe,2866376,23,1
2020-03-24,2020,3,24,Albania,Europe,2866376,11,2
2020-03-23,2020,3,23,Albania,Europe,2866376,13,0
2020-03-22,2020,3,22,Albania,Europe,2866376,6,0
2020-03-21,2020,3,21,Albania,Europe,2866376,0,0
2020-03-20,2020,3,20,Albania,Europe,2866376,11,0
2020-03-19,2020,3,19,Albania,Europe,2866376,4,1
2020-03-18,2020,3,18,Albania,Europe,2866376,4,0
2020-03-17,2020,3,17,Albania,Europe,2866376,9,0
2020-03-16,2020,3,16,Albania,Europe,2866376,4,0
2020-03-15,2020,3,15,Albania,Europe,2866376,5,0
2020-03-14,2020,3,14,Albania,Europe,2866376,10,0
2020-03-13,2020,3,13,Albania,Europe,2866376,12,0
2020-03-12,2020,3,12,Albania,Europe,2866376,1,1
2020-03-11,2020,3,11,Albania,Europe,2866376,4,0
2020-03-10,2020,3,10,Albania,Europe,2866376,4,0
2020-03-09,2020,3,9,Albania,Europe,2866376,2,0
2020-06-15,2020,6,15,Algeria,Africa,42228429,109,7
2020-06-14,2020,6,14,Algeria,Africa,42228429,112,9
2020-06-13,2020,6,13,Algeria,Africa,42228429,109,10
2020-06-12,2020,6,12,Algeria,Africa,42228429,105,9
2020-06-11,2020,6,11,Algeria,Africa,42228429,102,8
2020-06-10,2020,6,10,Algeria,Africa,42228429,117,9
2020-06-09,2020,6,9,Algeria,Africa,42228429,111,8
2020-06-08,2020,6,8,Algeria,Africa,42228429,104,9
2020-06-07,2020,6,7,Algeria,Africa,42228429,115,8
2020-06-06,2020,6,6,Algeria,Africa,42228429,104,9
2020-06-05,2020,6,5,Algeria,Africa,42228429,205,14
2020-06-04,2020,6,4,Algeria,Africa,42228429,0,0
2020-06-03,2020,6,3,Algeria,Africa,42228429,113,6
2020-06-02,2020,6,2,Algeria,Africa,42228429,119,8
2020-06-01,2020,6,1,Algeria,Africa,42228429,127,7
2020-05-31,2020,5,31,Algeria,Africa,42228429,133,8
2020-05-30,2020,5,30,Algeria,Africa,42228429,137,8
2020-05-29,2020,5,29,Algeria,Africa,42228429,140,7
2020-05-28,2020,5,28,Algeria,Africa,42228429,160,6
2020-05-27,2020,5,27,Algeria,Africa,42228429,194,8
2020-05-26,2020,5,26,Algeria,Africa,42228429,197,9
2020-05-25,2020,5,25,Algeria,Africa,42228429,193,8
2020-05-24,2020,5,24,Algeria,Africa,42228429,195,10
2020-05-23,2020,5,23,Algeria,Africa,42228429,190,7
2020-05-22,2020,5,22,Algeria,Africa,42228429,186,7
2020-05-21,2020,5,21,Algeria,Africa,42228429,165,7
2020-05-20,2020,5,20,Algeria,Africa,42228429,176,6
2020-05-19,2020,5,19,Algeria,Africa,42228429,182,7
2020-05-18,2020,5,18,Algeria,Africa,42228429,198,6
2020-05-17,2020,5,17,Algeria,Africa,42228429,192,6
2020-05-16,2020,5,16,Algeria,Africa,42228429,187,7
2020-05-15,2020,5,15,Algeria,Africa,42228429,189,7
2020-05-14,2020,5,14,Algeria,Africa,42228429,186,7
2020-05-13,2020,5,13,Algeria,Africa,42228429,176,8
2020-05-12,2020,5,12,Algeria,Africa,42228429,168,5
2020-05-11,2020,5,11,Algeria,Africa,42228429,165,8
2020-05-10,2020,5,10,Algeria,Africa,42228429,189,6
2020-05-09,2020,5,9,Algeria,Africa,42228429,187,5
2020-05-08,2020,5,8,Algeria,Africa,42228429,185,7
2020-05-07,2020,5,7,Algeria,Africa,42228429,159,6
2020-05-06,2020,5,6,Algeria,Africa,42228429,190,5
2020-05-05,2020,5,5,Algeria,Africa,42228429,174,2
2020-05-04,2020,5,4,Algeria,Africa,42228429,179,4
2020-05-03,2020,5,3,Algeria,Africa,42228429,141,6
2020-05-02,2020,5,2,Algeria,Africa,42228429,148,3
2020-05-01,2020,5,1,Algeria,Africa,42228429,158,6
2020-04-30,2020,4,30,Algeria,Africa,42228429,199,7
2020-04-29,2020,4,29,Algeria,Africa,42228429,132,5
2020-04-28,2020,4,28,Algeria,Africa,42228429,135,7
2020-04-27,2020,4,27,Algeria,Africa,42228429,126,6
2020-04-26,2020,4,26,Algeria,Africa,42228429,129,4
2020-04-25,2020,4,25,Algeria,Africa,42228429,120,8
2020-04-24,2020,4,24,Algeria,Africa,42228429,97,5
2020-04-23,2020,4,23,Algeria,Africa,42228429,99,10
2020-04-22,2020,4,22,Algeria,Africa,42228429,93,8
2020-04-21,2020,4,21,Algeria,Africa,42228429,89,9
2020-04-20,2020,4,20,Algeria,Africa,42228429,94,8
2020-04-19,2020,4,19,Algeria,Africa,42228429,117,3
2020-04-18,2020,4,18,Algeria,Africa,42228429,150,16
2020-04-17,2020,4,17,Algeria,Africa,42228429,108,12
